price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,total_rooms,total_space,totspace/room,facilities,score,waterfront,has_basement,was_renovated,view_1,view_2,view_3,view_4,condition_2,condition_3,condition_4,condition_5,region_2,region_3,region_4,quadrant_NW,quadrant_SE,quadrant_SW,quadrant_UNKNOWN,sqft_city,sqft_zip,sqft_road_type,lot_city,lot_zip,lot_road_type
313000.0,3.0,1.5,1340.0,7912.0,1.5,1340.0,0.0,1955.0,2005.0,4.5,1340.0,297.77777777777777,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1774.8373983739837,1626.6451612903227,2001.5772230889236,9102.365853658537,6819.924731182796,13149.47529901196
2384000.0,5.0,2.5,3650.0,9050.0,2.0,3370.0,280.0,1921.0,0.0,7.5,3650.0,486.6666666666667,4.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1825.060819462228,2196.122448979592,2081.6993970714902,5309.85147247119,4170.183673469388,15983.070628768302
342000.0,3.0,2.0,1930.0,11947.0,1.0,1930.0,0.0,1966.0,0.0,5.0,1930.0,386.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1984.5628415300546,2009.7448979591836,2001.5772230889236,15155.016393442624,18284.418367346938,13149.47529901196
420000.0,3.0,2.25,2000.0,8030.0,1.0,1000.0,1000.0,1963.0,0.0,5.25,2000.0,380.95238095238096,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.8035714285716,2240.0,2298.88375,13697.414285714285,10560.208333333334,13186.4725
550000.0,4.0,2.5,1940.0,10500.0,1.0,1140.0,800.0,1976.0,1992.0,6.5,1940.0,298.46153846153845,4.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491.7617021276596,2275.5925925925926,2001.5772230889236,23936.191489361703,11302.111111111111,13149.47529901196
490000.0,2.0,1.0,880.0,6380.0,1.0,880.0,0.0,1938.0,1994.0,3.0,880.0,293.3333333333333,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.060819462228,1848.4883720930231,2081.6993970714902,5309.85147247119,5204.178294573643,15983.070628768302
335000.0,2.0,2.0,1350.0,2560.0,1.0,1350.0,0.0,1976.0,0.0,4.0,1350.0,337.5,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491.7617021276596,2275.5925925925926,2001.5772230889236,23936.191489361703,11302.111111111111,13149.47529901196
482000.0,4.0,2.5,2710.0,35868.0,2.0,2710.0,0.0,1989.0,0.0,6.5,2710.0,416.9230769230769,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2086.0,2086.0,2298.88375,13825.431578947368,13825.431578947368,13186.4725
452500.0,3.0,2.5,2430.0,88426.0,1.0,1570.0,860.0,1985.0,0.0,5.5,2430.0,441.8181818181818,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1995.4,1995.4,2081.6993970714902,32053.68,32053.68,15983.070628768302
640000.0,4.0,2.0,1520.0,6200.0,1.5,1520.0,0.0,1945.0,2010.0,6.0,1520.0,253.33333333333334,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.060819462228,1848.4883720930231,2001.5772230889236,5309.85147247119,5204.178294573643,13149.47529901196
